config_id,duration,val,train,test,model_name,dataset_name,dataset_id,hp
54,958.2420551776886,0.8000468274408804,0.8141,0.805689343768814,cocktails_smac,electricity,44120,random search
39,1477.8950998783112,0.8039100913135098,0.8203,0.8116094722054987,cocktails_smac,electricity,44120,random search (sorted)
40,1484.7453298568726,0.8187778037930227,0.9141,0.8203391531206101,cocktails_smac,electricity,44120,random search (sorted)
44,1491.6925835609436,0.8197143526106299,0.8671,0.8223961468994582,cocktails_smac,electricity,44120,random search (sorted)
49,1493.2782003879547,0.8117536876609693,0.8348,0.8162753361428858,cocktails_smac,electricity,44120,random search (sorted)
56,960.0234482288361,0.81842659798642,0.871,0.8228978526991773,cocktails_smac,electricity,44120,random search (sorted)
58,868.7785365581512,0.7900959962538048,0.8038,0.7981135861930564,cocktails_smac,electricity,44120,random search
57,1055.399104833603,0.8116366190587685,0.8717,0.8138671483042343,cocktails_smac,electricity,44120,random search
55,1263.1797168254852,0.8215874502458441,0.9028,0.8247039935781658,cocktails_smac,electricity,44120,random search
59,1039.4832327365875,0.8215874502458441,0.8815,0.8244029700983343,cocktails_smac,electricity,44120,random search (sorted)
61,966.5225343704224,0.8211191758370405,0.887,0.8249046758980534,cocktails_smac,electricity,44120,random search (sorted)
63,916.1744122505188,0.8112854132521657,0.8307,0.8149709010636162,cocktails_smac,electricity,44120,random search
60,1023.1200559139252,0.7992273472254742,0.8174,0.8077965081276339,cocktails_smac,electricity,44120,random search
48,1943.7964570522308,0.7644579723718099,0.7878,0.7735801725867951,cocktails_smac,electricity,44120,random search
64,964.1727962493896,0.8154998829313977,0.855,0.8222958057395143,cocktails_smac,electricity,44120,local search
69,814.4401893615723,0.8220557246546476,0.8961,0.8245033112582781,cocktails_smac,electricity,44120,local search
71,803.3749961853027,0.823811753687661,0.9387,0.8262091109773229,cocktails_smac,electricity,44120,local search
65,1020.4850482940674,0.8122219620697729,0.8335,0.8162753361428858,cocktails_smac,electricity,44120,random search (sorted)
67,1024.4046263694763,0.8191290095996254,0.8795,0.8233995584988962,cocktails_smac,electricity,44120,random search (sorted)
70,977.5708057880402,0.8178412549754156,0.8746,0.8232992173389524,cocktails_smac,electricity,44120,local search
68,1048.8154029846191,0.8177241863732148,0.8596,0.8215432470399358,cocktails_smac,electricity,44120,random search (sorted)
73,797.196053981781,0.8146804027159916,0.8515,0.8202889825406382,cocktails_smac,electricity,44120,local search
72,922.5906343460083,0.8205338328260361,0.9495,0.8259080874974914,cocktails_smac,electricity,44120,random search (sorted)
74,904.4487125873566,0.8043783657223132,0.8377,0.8110074252458358,cocktails_smac,electricity,44120,random search
