,dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small
31,1241,codrnaNorm,488565,8,0,0,0,0,,0.9521666666666667,0.9642666666666667,0.9323,0.9640666666666666,0.9582333333333334,,325710,False
32,1242,vehicleNorm,98528,100,0,0,0,0,,0.8581,0.8697666666666667,0.7799333333333334,0.8340333333333333,0.8640666666666666,,98528,False
33,1476,gas-drift,13910,128,0,0,0,0,,0.998519362186788,0.9979498861047835,0.9931662870159453,0.998633257403189,0.9980637813211845,,5852,False
34,1477,gas-drift-different-concentrations,13910,129,0,0,0,0,,0.9982915717539862,0.9974943052391799,0.9937357630979499,0.998633257403189,0.9977220956719817,,5852,False
35,1478,har,10299,561,0,0,0,0,,1.0,0.9996503496503497,1.0,0.9993006993006993,1.0,,3812,False
36,1486,nomao,34465,118,29,15,0,0,,0.9291236386208453,0.9655211331188984,0.9394503696179674,0.9555329834659444,0.9636589357259749,,19688,False
37,1503,spoken-arabic-digit,263256,14,0,0,0,0,,0.5232,0.5289333333333334,0.5220666666666667,0.5365666666666666,0.5623666666666667,,52932,False
38,1507,twonorm,7400,20,0,0,0,0,,0.9764758900405589,0.9676430824695809,0.8414601171698963,0.9697160883280758,0.9689049121225777,,7394,False
39,1526,wall-robot-navigation,5456,4,0,0,0,0,,0.9720413026211279,0.9996822875297855,1.0,0.9926926131850674,1.0,,4194,False
40,1590,adult,48842,14,8,0,0,0,,0.7428946739909242,0.7762120850250777,0.7065520261125706,0.7581800812037258,0.738078178488974,,23374,False
41,4134,Bioresponse,3751,1776,0,522,0,0,,0.7487875848690593,0.7829291949563532,0.6973811833171678,0.7738118331716779,0.7840931134820562,,3434,False
42,4541,Diabetes130US,101766,49,36,2,0,0,,0.6151666666666666,0.6557,0.5718,0.6339333333333333,0.6392666666666666,,71090,False
43,23517,numerai28.6,96320,21,0,0,0,0,,0.5212,0.5102,0.4986333333333333,0.5053333333333333,0.5094666666666666,,95324,False
44,40685,shuttle,58000,9,0,0,0,0,,0.9802820416822663,1.0,0.9998752027954575,0.9996256083863723,1.0,,17806,False
45,40923,Devnagari-Script,92000,1024,0,240,0,0,,0.9936666666666667,0.9973333333333334,0.986,0.998,0.9974999999999999,,4000,False
46,41146,sylvine,5124,20,0,0,0,0,,0.9200260078023407,0.9522756827048113,0.9109232769830949,0.9282184655396619,0.9423927178153445,,5124,False
47,41147,albert,425240,78,52,0,11,201038,,0.6017666666666667,0.6278666666666667,0.5493,0.6195,0.6226666666666667,,202948,False
48,41162,kick,72983,32,18,0,0,383,,0.6115367844016695,0.6301002927801658,0.5698000373761914,0.6524014202952718,0.6342116738304366,,17836,False
49,41163,dilbert,10000,2000,0,0,0,0,,0.9996742671009772,0.999185667752443,0.9859934853420196,0.9996742671009772,0.9995114006514658,,4092,False
50,41164,fabert,8237,800,0,58,0,0,,0.9702970297029703,0.9482948294829484,0.9575357535753575,0.968976897689769,0.9617161716171617,,3030,False
